gene_name	length
minD	651
minC	726
htrB	1086
PST_1427	843
PST_1428	912
PST_1429	1293
PST_1430	186
PST_1431	315
PST_1432	1656
PST_1433	810
PST_1434	1158
PST_1435	429
PST_1436	228
PST_1437	2745
PST_1438	1206
PST_1439	1740
asnB	1773
PST_1441	480
PST_1442	1770
PST_1443	963
PST_1444	1296
PST_1445	816
PST_1446	696
PST_1448	462
PST_1447	4314
PST_1449	864
PST_1450	552
PST_1451	771
PST_1452	726
PST_1453	198
PST_1454	1149
PST_1455	2334
PST_1456	888
PST_1457	579
PST_1458	246
PST_1459	2079
PST_1460	1008
PST_1461	429
PST_1462	759
PST_1463	76
PST_1464	306
PST_1465	201
PST_1466	648
PST_1468	1305
PST_1469	1323
PST_1470	969
hsdS	1584
PST_1472	1086
PST_1473	2352
PST_1474	765
PST_1475	633
PST_1476	492
PST_1477	651
PST_1478	1659
PST_1479	1251
PST_1480	3039
PST_1481	474
PST_1482	312
PST_1483	291
PST_1484	1629
PST_1485	876
PST_1486	846
PST_1487	279
PST_1488	249
PST_1489	1404
PST_1490	70
PST_1491	1479
PST_1492	638
pobA	1185
PST_1495	2135
PST_1497	1506
PST_1498	984
PST_1499	798
PST_1500	1095
PST_1501	762
PST_1502	993
PST_1503	192
fdxA	324
mutS	2676
PST_1506	1104
PST_1507	642
recA	1047
recX	423
PST_1510	1092
PST_1511	1518
PST_1512	2418
PST_1513	396
PST_1514	720
PST_1515	912
PST_1516	579
PST_1517	927
fpr	777
PST_1519	537
PST_1520	501
PST_1521	639
PST_1522	465
dinG	2052
estC	1149
PST_1525	690
pdxH	648
PST_1527	237
PST_1528	462
PST_1529	2793
PST_1530	330
PST_1531	1500
PST_1532	501
PST_1533	270
PST_1534	330
glnD	2703
map	783
rpsB	741
tsf	864
pyrH	744
frr	522
uppS	846
cdsA	681
dxr	1191
PST_1544	1353
PST_1545	2316
ompH	540
lpxD	1047
fabZ	438
lpxA	777
lpxB	1005
rnhB	639
dnaE	3396
accA	951
PST_1554	1149
pyrG	1632
kdsA	846
eno	1365
PST_1558	327
ispD	705
PST_1560	1167
PST_1561	315
PST_1562	900
adhC	1125
PST_1564	846
xenB	1569
ispF	474
