locus_id	gene_name	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8
ECDH10B_3324	yraQ	73.0	94.0	116.0	362.0	56.0	106.0	20.0	0.0	275.0	725.0	184.0	185.0	69.0	217.0	34.0	79.0
ECDH10B_3325	yraR	22.0	19.0	17.0	89.0	12.0	41.0	0.0	0.0	60.0	150.0	5.0	56.0	45.0	232.0	60.0	81.0
ECDH10B_3364	yrbA	212.0	338.0	399.0	1000.0	185.0	397.0	0.0	0.0	543.0	1407.0	655.0	734.0	241.0	2346.0	171.0	735.0
ECDH10B_3365	yrbB	124.0	115.0	148.0	215.0	174.0	61.0	0.0	0.0	166.0	994.0	123.0	138.0	184.0	2198.0	153.0	769.0
ECDH10B_3366	yrbC	211.0	268.0	271.0	864.0	105.0	319.0	30.0	0.0	621.0	2034.0	148.0	419.0	258.0	2913.0	301.0	752.0
ECDH10B_3367	yrbD	76.0	200.0	83.0	395.0	35.0	154.0	0.0	0.0	227.0	768.0	91.0	112.0	157.0	864.0	107.0	255.0
ECDH10B_3368	yrbE	271.0	580.0	317.0	1405.0	222.0	571.0	17.0	57.0	1170.0	2754.0	517.0	611.0	481.0	3123.0	730.0	764.0
ECDH10B_3369	yrbF	321.0	462.0	334.0	1734.0	296.0	750.0	0.0	18.0	1647.0	3703.0	669.0	621.0	604.0	4000.0	836.0	1535.0
ECDH10B_3370	yrbG	147.0	218.0	173.0	460.0	38.0	155.0	0.0	9.0	257.0	887.0	352.0	207.0	186.0	1416.0	306.0	448.0
ECDH10B_3373	yrbK	145.0	194.0	164.0	802.0	69.0	173.0	0.0	0.0	519.0	1722.0	223.0	244.0	145.0	1744.0	178.0	398.0
ECDH10B_3381	yrbL	570.0	651.0	340.0	919.0	129.0	451.0	0.0	28.0	1061.0	3735.0	925.0	1557.0	761.0	4134.0	775.0	1421.0
ECDH10B_3454	yrdA	463.0	793.0	481.0	1917.0	230.0	776.0	33.0	27.0	714.0	2179.0	854.0	1115.0	1347.0	10630.0	1887.0	4094.0
ECDH10B_3455	yrdB	144.0	248.0	108.0	769.0	209.0	176.0	0.0	0.0	215.0	1003.0	180.0	254.0	163.0	1116.0	153.0	514.0
ECDH10B_3457	yrdC	148.0	106.0	132.0	454.0	67.0	141.0	17.0	0.0	159.0	827.0	87.0	110.0	66.0	815.0	131.0	294.0
ECDH10B_3458	yrdD	317.0	331.0	264.0	1032.0	107.0	264.0	15.0	16.0	426.0	1388.0	433.0	314.0	502.0	3072.0	432.0	1067.0
ECDH10B_3567	yrfA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	12.0	0.0	0.0	0.0	9.0	0.0	0.0
ECDH10B_3568	yrfB	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	5.0	0.0	0.0
ECDH10B_3569	yrfC	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	17.0	24.0
