gene_name	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_04556	1483	2568	3555	1437
KOXM_04561	118	184	160	93
KOXM_04566	22	59	92	44
KOXM_04571	184	241	288	100
KOXM_04576	242	198	703	82
KOXM_04581	501	292	1046	228
KOXM_04586	83	47	170	64
KOXM_04591	9	22	9	0
KOXM_04596	71	250	443	132
KOXM_04601	17	0	0	0
KOXM_04606	0	0	7	0
KOXM_04631	0	0	22	0
KOXM_04636	0	0	17	0
KOXM_04641	0	0	0	0
KOXM_04646	19	14	38	0
KOXM_04651	11	0	8	0
KOXM_04656	3	15	24	23
KOXM_04661	84	66	151	116
KOXM_04666	88	147	223	101
KOXM_04671	88	134	208	69
KOXM_04676	116	147	67	100
KOXM_04681	12	0	0	0
KOXM_04686	0	0	0	0
KOXM_04691	3	0	20	3
KOXM_04696	13	7	18	0
KOXM_04701	0	0	14	12
KOXM_04706	8	0	10	21
KOXM_04711	45	3	24	0
KOXM_04716	26	0	0	0
KOXM_04721	0	27	2	0
KOXM_04726	12	14	0	28
KOXM_04731	57	120	224	65
KOXM_04736	47	80	103	56
KOXM_04741	0	8	29	22
KOXM_04746	14	0	11	0
KOXM_04751	19	15	26	9
KOXM_04756	29	25	4	0
KOXM_04761	0	29	82	12
KOXM_04766	10	43	0	0
KOXM_04771	66	57	126	23
KOXM_04776	45	44	43	16
KOXM_04781	44	36	145	13
KOXM_04786	85	32	95	41
KOXM_04791	62	103	151	37
KOXM_04796	0	0	19	0
KOXM_04801	0	0	0	0
KOXM_04806	0	21	22	16
KOXM_04811	18	2	0	18
KOXM_04816	0	71	41	10
KOXM_04821	42	77	79	4
KOXM_04826	15	45	43	34
KOXM_04831	0	22	29	0
KOXM_04836	0	32	0	29
KOXM_04841	0	0	0	0
KOXM_04846	0	0	0	0
KOXM_04851	0	0	0	0
KOXM_04856	1165	2058	825	1015
KOXM_04861	0	0	0	0
KOXM_04866	8	19	38	0
